review,label
영 상미 배경 인정 이쁘 마치 아날로그 파리 찍은 영 상미 그 이외 연출 내용 전혀 노 이해 노잼 중간 초 치는 말 순이 여 튼 별루 부분 재미 느끼는 건지 어른 동화 느낌 하나 이런 류 영화 좋아하는 사람 비추,0
재미없 백번 듣고 본 치 재미 없더 이영화 보고 느낀 역시 여자 최강 파워 지닌,0
뭐,0
진짜 두 배우 케미 장난 아니 경수 수고 많았 조정석 박신혜 수고 많으셨구 그 외 배우 수고하셨 웃다 울 정말 여운 남는 영화,1
이희준 캐릭터 상당히 재밌네,1
별 개도 아까운 영화 잔잔 함 속 잔인함 가득함 내용 없고 감동 없,0
씹 노잼,0
노답 이진욱 임수정 연기 매우 어색 평점 알바 속지 마시 스토리 개연 부족 배우 연기력 부족 그 와중 조정석 연기 돋보임,0
점 줄 수 없어 한 입니,0
알렉 트루블러드 히로인,1
지나친 악성 리뷰 때문 눈살 찌푸려,1
문채원 예뻤 원 나잇 미화 영화 재미 감동 스토리 없는 근래 최악 영화 시간 돈 모두 아까웠 습 니당 정보 싶다 집 보세,0
굿 재미있게 봤 습 더 임 더글라스 맥아더,1
스타 연기 봐 스타 줌,0
내용 없고 전개도 허 술,0
개 무섭 진짜,1
나 재밌다 우울했 기분 사라지 해진,1
평점 처음 남겨 본 말 필요없 꿀잼,1
재밌네 마지막 좋,1
임시완 잘생긴 영화 였,0
너무나 예상 가능한 스토리 아쉽,0
하나님 앞 진실 살아가는 분 보게 되었 아픔 겪는 사람 삶 대한 하나님 마음 알 되었 우는 들 울 말씀 울 되는 영화 였,1
진짜 후회 안 할 인생 영화 시절 더 아련하고 가슴 아프 보는 즐겁 달달 영화 첫사랑 아픔 정말 잘 표현한 영화 평점 점 줘 모자라다 솔직히,1
솔직히 배우 연기 좋 내용 별로 였 같아,0
김 수 마동석 아니었 캐 망할 영화,0
박정희 전 대통령 왜곡 했 점준,0
여기 있는 높은 평점 알바 지금 보고 나왔 이건 뭐 개 같은 영화 입니 최악 악 악인 영화 입니 이건 진짜 왜 만든 건지 의문 듭니,0
꽤 괜찮 영화 였 마술 배워 보고 싶네 빗방울 마술 짱,1
최악 서울역 보 부산 행 이자 마지막 히트 영화 일 앞 감독 영화 봐,0
보는 내내 설레고 웃음 짓게 만드는 영화 입니,1
이념 떠나 이건 너무 하자 정도 개연 있아 감동 이지 무조건 감동 받아 강요하면 감동 받냐,0
그냥 다른 보세 진짜 발 중간 영화관 나온 처음,0
내 최악 평점 올리는 처음 요 영화 스토리 정말 점도 주기 아까운 디카프리오 연기력 때문 점 줍니 정말 너무 지루하고 잠 영화 자는 사람 봣 내용 재미없,0
초딩 영화 평점 너무 높아 내려,0
태극기 휘 날리 점 고지전 점 나 군필 평소 맥아더 장군 존경하는 사람 영화 영화로 평가하는 맞는 것 같아,0
영국 티비 해준 마치 영화 판 극장 개봉,0
개인 취향 떠나서 요소 요소 억지 부분 꼭 있고 문채원 바람 펴 것 이 흘러가는 이상하고 하여튼 생각 너무 재미없,0
주인공 웃기 계속 애쓰 쿨 척 심하다,0
좀비 영화 억지 감동 주려 손발 오그 라드 연기 처음 분 정도 봐 극장 나와 지하철 타고 지하철 노선 외워 그게 더 개이득 보다 오그 들어 오징어 돼는 왜 부끄러움 관객 몫,0
진짜 역대 노잼 영화 천원 내고 보기 시간 아깝 본 사람 시간 낭비 하러,0
좀비 물 별로 안 좋아했 몰입 봤,1
재밌 개 밧어,1
거 시그널 모방 한,0
재밌게 봤,1
굿,1
재미 감동 둘 잡은 애니,1
김혜수 이런 영화 선택했 믿기 어려움,0
재밌던 뎉 고 찮아,1
너무 재미있고 액션 신 너무 멋있어,1
중간 너무 지루하고 결말 너무 뻔해서 재미없 왜 인기 많은 모르,0
처음 평점 걸 씁 아직 도화 가안 풀려 최악 최악 영화 그냥 영화,0
셜록 드라마 모두 봐 재밌게 본 같다 셜록 드라마 먼저 보고 보는 추천 아니 이해하기 어려 있,1
영화 속 대통령 각하 생각 있으 원자력 발전소 위험성 깨닫 영화 였,1
성룡 일간 세계 일주 다음 기억 남는 영화,0
별점 마이너스 없,0
드럽 재미 없는 영화 오랜만 봤 돈 아까워 열 받는 영화,0
그 애국심 넣어 둬 나라 잘살 당신 돌아갈 파이 없 뺏어 갈 파이 늘 수 있지 국가 향한 당신 일방 짝사랑 누진세 되어 돌아옵 류 영화 감동 받아 오늘 가슴속 애국 부르짖 당신 다시 생각 해보시,0
오늘 보고 왔 서사 스타일 중요한 한국 보기 힘든 새로운 느와르 대만 족 평점 낮게 주시 믿지 마세,1
오래 기억될 잔잔 감동 영화,1
순수함 노래하는 영화 왜 때 묻히는 모르,1
드라마 본 사람 평점 깎아 먹네,1
채선 너무 오버 지하실 귀 참 밝아 니암 다른 외국인 장교 연기 말 손목 오그 든 카메라 앵글 구도 연출 너무 무게 감도 없고,0
이런 걸 영화 진짜 지루하고 평점 점 모야 재미있다 또 모구 알바 천지,0
광고 더 재미있던 것 같다,0
후 오다 남자,1
간만 손 땀 쥐 봤 영화 긴장감 넘칩니,1
이번 영화로 정우성 안티 김원해 팬 되었,0
일본인 친일파 더 나빠 재미있게 관람 했,1
올해 첫 영화 아마 올해 최고 지루한 영화 될 것 같네,0
와 간만 영화 졸뻔,0
역시 조성 희 감독 배우 가진 매력 무엇 완벽히 알 자신 스토리 맞아 떨어지 녹여 최고 연출 보았,1
너무 너무 너무 재밌었,1
그 제작비 이런 졸작 만들기 쉽 않은 일 영화 보는 내내 피 서한 걸 위안 삼아,0
가볍 즐길 있는 판타지 영화 보시 될,1
포화 속 오히려 명작 였 년판 똘이장군 한 평론가 정답,0
별로 였 연기 너무 한,0
영화 보 어떻 영화 이어져 나갈 란 생각 들 궁금하면 봤,1
역사왜곡 해도 너무 하네 독립 투사 하늘 눈물 흘리 다케유키 덕혜 위하여 죽 때 수많 인터뷰 요청 불구하고 한번 응 하지 않은 일본인 훌륭한 인품 소유자,0
쟈 미 녀녀녀녀 두 아,1
부자 이후 추천할 한국영 꼭 보시,1
중간 중간 웃기 내용 전체 재밌지 않,0
짱굿 공백 제외 열자,1
겟더 퍽아로브히얼 노잼,0
멋있어 감동 있구 재밌어,1
보여 급 무리수 둠 별로 보여 없다 소희 커플 없어 그럭저럭 볼 영화,0
인과관계 개연 부족함 결론 감독 자질 부족 재미없,0
지 쓰러질 때 그거 내 갔 콘 같은 전혀 몰랐 대단하고 대견 한편 전혀 몰랐 게 미안하다 평생 빅뱅 팬 할,1
전문 성우 썼 평점 최소한 은 넘었 감독,0
영화 전반 박진 감 넘치 좋 전쟁 희생 된 국군 유엔군 노고 기억하게 해준 마지막 맥아더 경례 순간 찌릿했,1
성인 만족할 웃음 요소 매력 포인트 제대로 잡아 낸 것 같네 팀 밀러 첫 연출 작 게 믿기 않 정도 관객 마음 잘 알아낸 같아,1
뭐 그냥 재미없,0
배트맨 클락 엄마 아드님 친구 입니 할 때 빵 터짐,0
역대 잼 없다 나 진짜 왠만해서 끝 보는 혀,0
내 재미없 평점 높 이 이건 세계 음모 내 옳다 저 알바 바로잡 가바 정의 사도 점 적당한 밸런스 용 별점 점 드림 지 생각 점 점 줘,1
더빙 엉망 발음 이상하고 니 메이 션 우리나라 수준 감안 심함 웹툰 재미없 나온 애 저능 수준 혹시 외국인 보고 울 수준 이렇 생각할 걱정되는 수준 누가 돈 주고 봐 해도 봐 됨 심지어 부산 행 도 관련 없,0
그래픽 표시 너무나 차라리 우뢰매 봐 이건 그냥 유치원 생 보기 맞는 유치 정말 유치 배우 이런 영화 연기한 심 스러 정도 수준 있는 영화 아니니 참고할,0
현 대한민국 시국 보는 듯 느낌 세월호 생각 나구 대사 하나 하나 맘 아프 했 강추 입니,1
아수라 발발 타 아수라,0
볼거리 많아 영화 보는 동안 하나 놓치 집중해서 봤,1
노잼 개 노잼 핵 노잼 씹 노잼 좇 노잼,0
감독 해피엔딩 끝내야 어정 정하게 엔딩 요 아쉽,1
와 진짜 레버 넌트 짱 보는 내내 무 말 할 수 없었 와 왜 레오 레오 하는 줄 너무 잘 알 강추,1
아니 외설 책 찢어 방울 왜 굳이 챙겨 감,0
감동 영화 였 번 세번 봐 좋,1
유승호 너무 좋아하는 영화 유치 하네,0
재밌다 동화 속 들어온 느낌,1
이 딴 영화 만들어 내면 영화 값 왜 쳐 올리냐 썩은 들,0
정도 정말 만든 아닌,1
진짜 왜 재미있는 모르 마블 시리즈 최악 같다 긴 시간 동안 지루해서 나가고 싶다 느낀 마블 영화,0
정권 홍보 용 영화,0
꿀잼 진짜 재밌었 로 봤 더 재밌었 같았,1
평론가 들이 뭐길 점 이상 줘 본적 있긴 가오 오지 잡네 짱 재밌어,1
진짜 부산 행 아니었 봤 영화 언제 끝날 시간 졸 지루해 죽어,0
이건 너무 하자 보고 화가 나 이유 뭘 까,0
와 진짜 인생 영화인 듯 스포일러 보고 봐 너무 재밌네 진짜,1
역시 마블 우릴 실망 시키 않는,1
내 진짜 어지간하면 네이버 로그인 해 평점 남기는 애가 아닌 처음 남겨 진짜 오 지게 재미없,0
스타워즈 시리즈 중 최고다,1
아주 재미있게 봤 강동원 익살 연기 더욱 재밌었,1
나 개인 재미 감동 주는 영화 생각함,1
보면 서는 몰랐 끝나고 여운 후 폭풍 장난 아님 사랑 거짓말 결제 왔 진짜 너무 가슴 아프 소율 너 짱,1
어렸 땐 공감 안 됐 것 지금 공감 되 재밌게 봤 브리 짓 존스 일기 다시 정 주행 합 닷,1
제이콥 사랑해 내 최애,1
혼자 봤 겁나 억울할 뻔했 여기 와 평점 남기 분 보고 위안 삼고 갑,0
철갑탄 우현 이물 부분 직격 이물 부분 승조 들이 몰살 당하였,0
아직까지 여운 남네 감독 천재,1
구성 액션 캐릭터 성격 잘 살린 좋 영화 한편 다음 마블 시리즈 기대되는 그런 영화 엿,1
생각 보러 당연히 이해 가지 이건 드라마 정 주행 하고 봐 야하는 거 구,1
판타지 물 넘 좋아하는 이 영화 제대로 된 판타지 물,1
너무 너무 재미있 지루할 틈 없고 개태 멋있네,1
내 생각하는 최고 암 할머니 자매,0
차라리 만들 말,0
재미있었 열자,1
제작 고생 하심 평점 점 넘기 좋 영화 감사,1
흥미진진 최고 영화 현실 돌아오기 싫었,1
알바 쩌 듯 평점 보고 봤 개 노잼 스토리 짜 집기 난해 하게 묶어 느낌 소리 지르 노래하는 장면 소름 돋 반전 있는 알 짜 집기 듯 난해 함 비추,0
훈훈한 영화 풍경 아름답 소박한,1
너무 봤,1
일단 나이 제한 모순 잔인 거치 타짜 부자 더 나 하고 중간 강간 같은 세 이상 관람 자라 요세 중 고딩 알 안다 남사 친 보고 뻘쭘 죽는 알 내용 감동 교훈 없었 시간 넘게 앉아 고생했,0
이건 영화 아니 쓰레기,0
막장 스토리 보고 남는 없다 감동 재미 없다 주인공 직업 왜 저런 알 않은 밑바닥 인간 도주 스토리 랄 까,0
게 재밌냐 게 감동 공짜 보여 도보 마라 일 점도 아깝,0
후 말 안해 아실 보실 분 기대하고 보지 마세,0
누구 위하여 장례 치르,1
스토리 허 접하고 연출 촌스럽 티나 본 장면 짜 깁 된 하고 거기 다가 제인 발연기 심각해 예쁘 예쁨 가족 끼리 컬쳐 데이 보러 그냥 끝 봤 혼자 보러 갔 중간 나왔 거,0
상상하지 마라 눈 보이는 영상 미 즐기는 충분하다 상상할 감독 농락 당하는 자신 알 관람 분노 할 있다 반전 속 반전 숨겨 진실 관람 후 영상 속 아름다 움 머리 속 아지랑이 처럼 피어 오를,1
연기력 부족한 건지 뭐 문젠 여 튼 집중 안되,0
옛날 봤 타잔 기억 봤 재미있어,1
영화 정말 진지하게 봤 평점 성의 까 내리는 사람 없었 영화 보고 많은 걸 느끼 하는 영화 오랜만 잘 만들어진 영화 같다 배우 연기력 목 듯 하다,1
넘으 조 채 애오 온몸 녹 같은 달달 함,1
인간 평점 너무 높다 액션 예고편 전부 액숀 영화 보면 차라리 시간 잤 좋 생각 들었 알바 점수 똑바로 매기,0
강남스타일 너무 뜻밖 였 콜린 퍼스 짱,1
보는 내내 소름 돋았,1
원작 만화가 무시한 왜 나왔 지 무의미 한 영화,0
아름다 움 가득한 영상 모험 하면 성장하고 사랑하는 모습 참 좋 가족 보기 좋 영화,1
예고편 더 재미있는 영화 오랜만 요,0
핵 노잼 중구 방이,0
시간 동안 미친 부산 갔 애 타게 찾던 엄마 나옴 결말 이건 아니 싶다,0
잔잔 감동 있는 영화 였 볼 함,1
재밌어 집 다시 봤 넘 잼 것,1
좋 영화 만들어 주셔 감사합,1
간만 취향 저격 제대로 당함 남성 스토리 넘 좋 것,1
니 감히 아들 죽여 쫓아 죽여 버리 말 극한 극한 어이쿠 너 인디언 딸도 납치 했 그럼 마지막 인디언 맡기 끝 대체 진부 부 애 복수 왜 질질 끈 건지 이해 안감,0
영화 보는 답답해서 미치는,0
점 없어 점준 인도영화 본 느낌 마지막 할 미친 아니 몇번 했 몰겠,0
역쉬 황정민 나오는 영화 믿고 볼 있는 같,1
살딸 영화관 본 영화 걱정하면 갔 좋 아라하 동물 나오니 집중해서 넘 잘 보더 만족 만족 였,1
아니 진짜 이영화 내 진짜 진짜 별점 개도 아까워 스텝업 제목 무슨 영화 출연 진 보면 옹박 출연하거 써 진짜 돈 존나 아까워,0
관객 눈물 쥐 짜려 영화 아닌 계속 눈물 나 영화 잭 룸 마지막 작별인사 하는 모습 기억 남는 큰 여운 남는 영화,1
톰 하디 캐릭터 보고 한번 혈압 나가면 재미 없으 더럽 길 말 듣고 한번 더 혈압,1
배우 연기 좋 울었 영화 입니,1
생각했 외로 재밌었 다음 나오면 보러 갈 영,1
그냥 그랬 생각 잼 없네,0
난 재밌었 의미 확실하게 전달되 감동 좀비 사람 더 무서운 세상,1
감사 영화 배우 대고 하는 게 아니 직접 가서 감사 해 영화 자체 좀 심각한 허세 찌 듦 왜 영화 현실 구분 할 차라리 영화 보는 시간 직접 가서 묵념 하고 와,0
완전 재미있어 꼭봐바용,1
보다 나옴 배우 둘 아까 움,0
송강호 연기력 공유 한지민 미친 미모 감독 출력,1
이 재밌,0
좋 영화 보고 갑,1
애니메이션 좋아하시 분만 보세 중간 조실 수도 있,0
가족 정신과 육체 사회 여성 인생 선택 관계 화해 아이 혼자 기르는 여성 의 고 된 삶 비춰 육체 갖힌 정신 점 비단 성정체성 문제 아니 더 확장 공감 할 있던 영화 였,1
너무 재미있어 점 드립니 점 왜 없,0
확실히 친구 보기 완전 좋 영화 남자 완전 강츄,1
배우 연기 잘해 재미있었,1
이건 아니 정말 지루하다 정글 법칙 다큐,0
와우 를 위한 영화 얼라이언스 뽕 취한,1
그냥 안 무서움 잔예 똥망 영화,0
역사왜곡 논란 모르 봤 후기 평점 보고 놀랐 나름 잔잔 영 회로 잘 봤 감독 말 허구 왜곡 할 없지 정도 허구 감독 개인 해석 정도 역사 물 상영 전 언급 필요하다 봅,0
걸 크러쉬 지 린다 섹시 컨셉 아닌 걸 크러쉬 처음,1
베게 가져가세 점 드립니,0
너무 재미있었 최고,1
좀비 영화 이 최고다,1
역시 오달수 대 배우 맞는 감동 있고 재미 있어,1
완전 재미있게 봤 웃다 맘 아프 도경수 괜사 봤 분 연기 믿고 봤 조정석 진짜 대박 너무 연기 잘함 뒤늦 본 걸 후회,1
변호사 선임 판결 끝 배우 보러 몰라 영화 내용 보러 가는 절대 비추 우리나라 경찰 검찰 썩었 다해도 너무 과장 심한 영화,0
왜 있는 모를 장면 수두 집중 도 떨어질 뿐더러 연 성 전혀 없는 내용 지루함 키워 나가는 년 최악 영화 임 자신 합,0
역시 말 기대 더 재밌었,1
정신 없고 삼류 영화 같,0
와 진짜 심각하게 재미없 중간 나왔 후반 어떤 몰라 시간 정도 보다 그냥 나왔 이 돈 받고 상영 할 영화 했,0
오 내 정신건강 어쩔 너 무 사실 잔인 인간 생명 무슨 해충 잡 보기 도괴 듣기 도괴 끔찍한 영화,0
송강호 혼자 하드 케리 하는 실패할 정도 전체 연기 별로 스토리 루즈 함 실존 인물 황옥 재 조명 다는 의미 이상 없,0
난 재밌게 봤 망토 제일 쌤,1
입국 거부 당할 때 운 사람 손,1
복 순이 진짜 끌려 갈 때 너무 너무 안타까웠,1
할 없 성하 말 않 되는 영화,0
좀비 무서운 아니 알바 무섭 알려 영화,0
좋 공유 훌륭했 마동석 역쉬 잘 만들어 썽,1
국뽕 작품 무엇 보여 영화,0
잠 솔솔 왔 아아,1
최악 노잼 열자 쓸 없다,0
화면 이쁜 연출 내용 엉망,0
베스트 댓글 중 역사 미화 줄 알 역사 미화 영화 역사 볼 모르는 놈 글 뻔 지르르 하게 쓰 다냐 똥 지르 다냐,0
하이큐 꼭 보 세야,1
봤 날짜 착각해서,0
언제 좀비 영화 재난 영화 됐,0
대박 원피스 루피 좀,1
배우 가지 망칠 있,0
김태리 연기 색감 기억 남는 영화,0
할리퀸 때문 가서 할리퀸 보고 왔,0
센 치히로 행방불명 하울 움직이는 성 같은 보다 보니 걸 내 왜 본 잘 모르,0
존잼 여,1
영화 보다 개콘 한 코너 보는 알 중간 너무 지루함,0
역시 한국영 화의 한계 다말 안되는 전개 짜증 나 연기 참 부끄럽,0
총기 소지 할 수 없는 한국 어떻 할 싶었 기차 한정된 공간 안 여러 도 해결해 모습 인상 이었 케이티엑스 공간활용 좀비 관한 상식 재미있게 풀어진 점 좋,1
마땅히 볼 영화 없어 가족 보러 간 영화 상당히 좋 미혼모 대한 메세지 제법 강력하게 다가와 은근 많은 생각 하게 만든 영화,1
입 소문 나서 봤 좋 그냥 보면 좋 슬프 웃기 통쾌 하다,1
너무 좋,1
배우 연기 좋 끝 졸렸 년대 영화 보는,0
더럽 재미없 자고로 영화 애섹히들 넣어 잘되는 꼴 봤 망하지 개연 성도 없고 겁나게 조잡 난잡,0
주인공 동료 레이 작전 참여하는 동기 보여 앞 부분 했 좋 생각 든 이정재 동료 죽는 도 모르 몰입도 안됨 여자 주인공 이정재 썸 타기 하고 맥아더 장군 비중 아쉬웠,0
수작 감동 여운 남 지난 역사 잊지 배우 정말 연기 잘한 이범수 굿,1
실망 영화 보러 와 졸아 보긴 처음 지루함 끝판,0
마지막 장면 아이 노래할 때 정말 눈물 난 디워 아리랑 듣는 기분,0
어제 시사회 봤 감동 적 영상 미도 좋 극장 보기 좋,1
진짜 기대한 최고 였 흥미진진 하게 가 마지막 눈물 바다 였 정말 기적 게살 말 생각 절실 들었 안보 신분 꼭 보,1
재밌는 왜 평점 계속 내려가는 오랜만 스릴 넘치는 영화 본 거 같네 강예원 연기 대박,1
저 그냥 그냥 냥 요,0
엄태구 왜 극찬 받지 전형 상대방 배려 없는 자기 돋보이는 비열 연기 했 뿐 인정 하면 누가 함 김지운 참 쓸데없 힘 주셨 들 힘 빼고 연기하는 혼자 붕뜸 전형 촌스러운 연기 저런 연기 극찬 받는 웃기,0
쏘 쏘 그닥 그럭저럭 킬링타임,0
영상 미가 생각 좋 생동감 넘치는 화면 동물 멋쟁이 타잔 이쁜 제인,1
씨 발 쓰레기 영화 씨 발,0
피닉스 포스 뭔 알 보면 재미있 겁니,1
영화 보고 돌아오는 차 안 문득 집 기르는 거북이 떠 올랐 지금 수조 안 돌아왔,1
성정체성 성소수자 대해 또 다른 이해 할 수 있게 해준 영화 새로운 눈 뜨 된 기분 입니 모든 사람 한 번 쯤 꼭 봐 줬 할 정도,1
이런 영화 흥행 하는 수준 스트레스 풀려 스트레스 빋 가네,0
취준 스트레스 이 영화로 덜어 낼 몰랐,1
와 나를 잠재 운 최악 영화 정말 평점 알바 아니 보다 손 동그라미 그리는 보고 잠들었 진짜 두통 유발 영화 스토리 막장 손 무기 들어서 근접 전투 할 권총 사서 쏘던 머 하러 마법 배우고 개 고생,0
보다 짜증 나 영화 난 극영화,0
최고 영화 뭉 클 감동 순간 순간 터지는 웃음 감히 인생 영화 강추,1
정말 재밌게 봤 두 시간 언제 지나가는 모를 정도 몰입 감 주네,1
믿고 보는 배우 연기 너무 잘하시 진짜 너무 재밌고 슬픕 꼭 대박 흥행 했 하는 영화 요,1
배우 고생한 같은 스토리 빈약 유치 어린이 용인 싶다,0
보통 진짜 만화,0
거 머 댓글알바 쩌는데 완전 어의 없는 영화 로그인 하게 만드는 역대 최악,0
알바 남긴 댓글 속 서 보러 갔 역사왜곡 둘째 어디 영화 생각하고 보려 했 인간 재미 없,0
주인공 너무 사랑스럽 누군가 사랑한 의미 대해 생각 해보게 되는 영화,1
정우성 황정민 곽도원 정만식 주지훈 전부 악마 모습 오버 랩 되는 기 막힌 연기 였,1
굿굿 소설 읽어 보고,1
진짜 이건 아닌,0
아이 재밌게 봤,1
역시 베니 연기력 기대 져 버리 않는,1
한마디 아수라,1
남친 있는 원 나잇 쳐,0
내 인생 최악 삼류 영화 네티즌 평점 모임 알바 임 몬생각 이런 영화 만들어 출시 했 감독 진지하게 얘기해 보고 싶,0
아씨 진짜 재미없 범인 궁금해 봤 결말 흐지부지 느낌,0
이영화 보고 암 나,1
마블 영화 최고 였,1
넘 재미있어 앤트맨 유머 짱,1
설 특선 봤 진짜 꿀꿀 잼 진짜 간 분 이 왜 흥행 했 의심 되는 영화 진짜 재미있다 연기 들 너무 잘해 울 기도 웃기 영화,1
극장 봤 돈 시간 아까웠 영화,0
마고 로비 너무 이쁘 자 생각했 것 보다 더 뿌 너,1
그냥 단어 말하죠 역 사 미 화,0
가족 끼리 오랜만 봣는데 재밌게 본 같,1
댄 아저씨 왜 왜,1
재미있게 잘 봤 또 보고 싶네,1
덕혜옹주 고국 돌아가는 모습 안 없어,1
역사왜곡 관련 글 읽고 별점 너무 높은 같아 좀 옴,0
놈 피라미드 포홀스맨 올 싱아 지긋지긋 하다 새 로움 없고 화려함 없었,0
에서 보기 권장 합,0
슈퍼맨 배트맨 나온 시간 때우고 머리 식히 위해 슈퍼맨 때려 부수 거 보러 갔 슈퍼맨 죽는 거 보고 와 황당 하기 그 없다 다음 편 나올 때 알 보니 슈퍼맨 안 죽었 이 딴 식 하면 더 최악,0
깨알 같은 까메오 확실한 내용 재밌게 봤 습 니드,1
이 배우 데리 허 접한 아마추어 영화 찍다 대사 내용 이런 영화 한 물 갔 김명민 발음 왜 좋 뭐라는 알아듣,0
방금 보고 나왔 점도 아깝 억지로 시작해 억지로 끝나는 영화 봐 돈 아깝 시간 낭비 기분 더러운 영화,0
평점 너무 높네 너무 지루하던 촬영 매끄럽 못 줄거리 별로 고요 점 정도 된 보는 평점 조절 위해 점 드립니,0
감독 혼자 신 캐릭터 갖고 논,0
초딩 영화 같았 볼 없고 스토리 뒤죽박죽,0
액션 자체 통쾌 결말,1
꼭 봐 되는 영화 입니,1
최고다 강추,1
감독 좀 너무 하시 이 영환 댓글 너무 읽진 마세 모멸 감 드실 겁니 건강하세 영화사 댓글알바 쓰세 제발 만들 양심 지킵,0
스토리 넘 아쉽,0
어 걸 보러 갈바 그 낼 돈 찢는 더 재밌,0
이런 쓰레기 상업 영화 천만 우리나라 영화 수준 시작 없고 끝 없고 아무런 전달하는 메세지 없는 영화 하나 있 아빠 위대하다 평점 점도 아깝 진짜,0
꼭봐 엉뚱깽뚱한거 보지 진짜 감동,1
좋 배우 명 열연 있어 감독 연출 조연 발연기 등등 만들 작품 완성 도 처참 했 아저씨 테이큰 처럼 번 세번 곱씹 볼 명작 아니 그냥 한번 보고 끝날 영화,0
이런 영화 이제 나와 합 한국 영화 시장 무너 뜨 리 쓰레기 같은 영화 영화관 검사 외전 온통 상영 하더 대형 영화사 수입하고 지네 영화 틀 참나 황정민 새끼 실망 이구 영화인 인척 이제 그만하길,0
시리즈 중 빠지 않는 재미 주인공 세월 느껴지 추억 느끼 하는 따뜻한 이야기,1
전쟁 절대 일어나서 않 된 것 각인 시켜 영화 였 재밌게 봤,1
깨알 개그 액션 꿀잼,1
노잼 보지 마세 혼숨 보실 같 닥터스 트레인 보세,0
전형 급 류 공포영화,0
